Parameter,Gradient
0,1.0576294506847717e-08
1,2.400729925966516e-08
2,0.0001158615414169617
3,4.586567229125649e-05
4,2.226423930551391e-05
5,0.00010987134737661108
6,2.759023664111737e-05
7,2.9057462597847916e-05
8,0.0001239188277395442
9,3.7931073165964335e-05
10,1.8917853594757617e-05
11,0.00013937870971858501
12,3.264846600359306e-05
13,3.0022618375369348e-05
14,0.0001448435359634459
15,2.9331646146601997e-05
16,1.6011050320230424e-05
17,0.0001519569632364437
18,3.64935549441725e-05
19,2.6362738935858943e-05
20,0.00014455927885137498
21,2.333555676159449e-05
22,1.2061384040862322e-05
23,0.0002317788457730785
24,4.801022805622779e-05
25,3.09472088702023e-05
26,0.00020744190260302275
27,3.941405157092959e-05
28,2.5163528334815055e-05
29,0.00012052381498506293
30,4.3948894017376006e-05
31,2.5163528334815055e-05
32,0.00016452018462587148
33,3.580368138500489e-05
34,2.4307440980919637e-05
35,0.00018847614410333335
36,5.584550672210753e-05
37,2.5285558876930736e-05
38,0.00020575628150254488
39,6.644630775554106e-05
40,2.5454966817051172e-05
41,0.0002652794064488262
42,6.409212073776871e-05
43,2.5925235604518093e-05
44,0.00028168808785267174
45,6.91921086399816e-05
46,2.9932996767456643e-05
47,0.00028642479446716607
48,8.888824231689796e-05
49,2.1950552763883024e-05
50,0.0004758502182085067
51,0.00010473312431713566
52,3.949239544454031e-05
53,0.000633877469226718
54,0.0001414841099176556
55,4.735220500151627e-05
56,0.0003940951719414443
57,0.0001775034179445356
58,4.735220500151627e-05
59,0.0003823022707365453
60,0.0001002403732854873
61,3.180565909133293e-05
62,0.0005847265128977597
63,0.00017642932652961463
64,4.997876021661796e-05
65,0.0005125520983710885
66,0.00013362355821300298
67,3.7339083064580336e-05
68,0.000846449809614569
69,0.00018593986169435084
70,4.994863775209524e-05
71,0.000538561143912375
72,0.0001528669090475887
73,4.6200279030017555e-05
74,0.0009327615262009203
75,0.0002532961079850793
76,5.121428330312483e-05
77,0.0007617692463099957
78,0.00018246733816340566
79,4.606533912010491e-05
80,0.0011450276942923665
81,0.0002700171316973865
82,5.205470370128751e-05
83,0.0004413695714902133
84,0.00013387459330260754
85,2.8853522962890565e-05
86,0.0008927287417463958
87,0.00037059379974380136
88,5.832219903822988e-05
89,0.010623565874993801
90,0.002523136790841818
91,7.591665053041652e-05
92,7.591665053041652e-05
93,0.14833112061023712
94,0.004452809225767851
95,1.601328730583191
96,2.1549906730651855
97,1.3900657892227173
98,0.004647002089768648
99,0.5802665948867798
100,47.22958755493164
101,1.8686367273330688
102,1.8686367273330688
103,379.0218811035156
104,1.4057158296054695e-05
105,16.934715270996094
106,10.100029945373535
107,427.75616455078125
108,1.6920945199672133e-05
109,28.546974182128906
110,26.24100685119629
111,712.2324829101562
112,1.3126224985171575e-05
113,134.4671630859375
114,80.67342376708984
115,1518.6058349609375
116,7.545169501099735e-05
117,415.0641174316406
118,163.1031494140625
119,3736.983642578125
120,8.048238669289276e-05
121,2403.794921875
122,1054.176513671875
123,12302.0078125
124,0.0009161317138932645
125,4787.96435546875
126,7138.42041015625
127,28530.091796875
128,0.0008916704682633281
129,43814.45703125
130,16807.8359375
131,132112.375
132,0.0038703219033777714
133,85928.7265625
134,128251.1875
