Epoch number,Epoch spec length,Average test loss,Average train loss
0,1105,0.6314928531646729,0.6732562780380249
1,1025,0.39074379205703735,0.5354720950126648
2,817,0.5619174838066101,0.6578722596168518
3,881,0.38667556643486023,0.6389369368553162
4,833,0.4693264067173004,0.6286662817001343
5,849,0.446494996547699,0.5711299180984497
6,881,0.46607518196105957,0.5523322820663452
7,945,0.5202418565750122,0.6897766590118408
8,881,0.4610562026500702,0.6482437252998352
9,1041,0.5703229904174805,0.6166449189186096
10,913,0.6892209053039551,0.6453632116317749
11,1105,0.5268521308898926,0.7462418675422668
12,929,0.4661588668823242,0.5655226111412048
13,1025,0.5872253179550171,0.5669422149658203
14,1089,0.4329375624656677,0.6571975350379944
15,1089,0.45382311940193176,0.667603611946106
16,1089,0.43082675337791443,0.5730662941932678
17,961,0.3959401249885559,0.6250705718994141
18,929,0.6763331890106201,0.6426117420196533
19,817,0.48304250836372375,0.6232989430427551
20,1009,0.4314815104007721,0.5274999141693115
21,833,0.42492973804473877,0.5338982939720154
22,929,0.36863282322883606,0.37877389788627625
23,897,0.47132009267807007,0.5148789882659912
24,1057,0.4756511151790619,0.48216012120246887
25,961,0.35613834857940674,0.7391148805618286
26,1089,0.4619099795818329,0.6024762988090515
27,817,0.5336701273918152,0.5645413398742676
28,1105,0.44556060433387756,0.537602424621582
29,865,0.3269897699356079,0.528494656085968
30,865,0.5151695013046265,0.6992130279541016
31,993,0.4779311418533325,0.6769752502441406
32,849,0.4362366497516632,0.6440311074256897
33,1057,0.4394168257713318,0.5556955933570862
34,897,0.5060322880744934,0.7588587403297424
35,833,0.47894287109375,0.5508444309234619
36,1073,0.43802958726882935,0.4948119521141052
37,1105,0.451663613319397,0.4572088122367859
38,1073,0.35106194019317627,0.5734972953796387
39,945,0.6310158967971802,0.6709519624710083
40,977,0.42272692918777466,0.5990230441093445
41,945,0.5879299640655518,0.6473630666732788
42,977,0.33734771609306335,0.5690552592277527
43,977,0.7030941843986511,0.4551686942577362
44,993,0.4549333453178406,0.5638304352760315
45,1057,0.5248896479606628,0.5260053277015686
46,849,0.4462626278400421,0.6206237077713013
47,1009,0.5007421374320984,0.5707571506500244
48,801,0.5771653056144714,0.5959261655807495
49,881,0.4530649781227112,0.6307480931282043
50,881,0.5825663805007935,0.5561711192131042
51,929,0.4936363399028778,0.5598117709159851
52,929,0.4597748816013336,0.6421554088592529
53,977,0.4049559235572815,0.6507884860038757
54,913,0.3249906897544861,0.5747491717338562
55,961,0.565370500087738,0.5809088945388794
56,1105,0.6028082370758057,0.658419132232666
57,929,0.4263150095939636,0.4467470049858093
58,977,0.5050004720687866,0.3447229266166687
59,833,0.4501914083957672,0.46843865513801575
60,1025,0.600492000579834,0.5634629130363464
61,1009,0.3404523730278015,0.5729196071624756
62,833,0.3347960412502289,0.4502953290939331
63,977,0.6760221719741821,0.3557261526584625
64,865,0.597104012966156,0.5218176245689392
65,1105,0.4946425259113312,0.5656815767288208
66,1041,0.4992075264453888,0.4915456473827362
67,1057,0.4746227264404297,0.4864625632762909
68,849,0.4578312337398529,0.6591117978096008
69,929,0.4725528657436371,0.5468572378158569
70,1009,0.6260351538658142,0.46950286626815796
71,1105,0.4595755934715271,0.677317202091217
72,833,0.5766472816467285,0.6180481910705566
73,801,0.47321727871894836,0.5489604473114014
74,1089,0.5617908239364624,0.7342424392700195
75,1089,0.35059526562690735,0.4646216332912445
76,1089,0.4114132225513458,0.5640711784362793
77,865,0.4529714584350586,0.6209370493888855
78,1073,0.5474388599395752,0.6597457528114319
79,1089,0.49245011806488037,0.41067594289779663
80,849,0.3878423571586609,0.5582066774368286
81,1041,0.5667712688446045,0.6500890851020813
82,1025,0.5092986822128296,0.4795393943786621
83,977,0.4378010630607605,0.5102347135543823
84,1089,0.5479504466056824,0.5924351215362549
85,1057,0.5195396542549133,0.51407790184021
86,1073,0.447639524936676,0.5892293453216553
87,945,0.4636228382587433,0.6749616265296936
88,1073,0.46580561995506287,0.5123186111450195
89,913,0.47932663559913635,0.6373842358589172
90,1073,0.4364100396633148,0.3772437274456024
91,881,0.4320664405822754,0.7862813472747803
92,1025,0.4601709544658661,0.6734190583229065
93,833,0.446808785200119,0.5424157381057739
94,961,0.6122540235519409,0.6370231509208679
95,801,0.400748074054718,0.6077526211738586
96,1041,0.38589558005332947,0.6228299140930176
97,1057,0.4700787663459778,0.5252639055252075
98,977,0.6169332265853882,0.6299463510513306
99,865,0.45391130447387695,0.6092596650123596
100,929,0.40306517481803894,0.5233268141746521
101,1009,0.6143783926963806,0.6487042903900146
102,849,0.4083061218261719,0.5572493672370911
103,849,0.5051528811454773,0.5975491404533386
104,1009,0.6981764435768127,0.5843896865844727
105,929,0.46047869324684143,0.5979552865028381
106,1057,0.44094666838645935,0.6049017906188965
107,1057,0.4371564984321594,0.630731999874115
108,1089,0.3239678144454956,0.47527995705604553
109,1089,0.44654664397239685,0.6306425333023071
110,817,0.5043160319328308,0.5979417562484741
111,961,0.30969345569610596,0.4892689287662506
112,977,0.46665486693382263,0.45914381742477417
113,1089,0.4569196403026581,0.5816016793251038
114,929,0.50910884141922,0.7303100824356079
115,1073,0.5476319789886475,0.4222707152366638
116,849,0.5860590934753418,0.6313706636428833
117,913,0.4167855978012085,0.6122362613677979
118,1025,0.5807807445526123,0.5366844534873962
119,1057,0.519896388053894,0.42431139945983887
120,1025,0.5440173745155334,0.5227229595184326
121,833,0.464001327753067,0.6696352362632751
122,945,0.5178787112236023,0.5315539240837097
123,1089,0.5404548645019531,0.5977103114128113
124,817,0.5616591572761536,0.5853325724601746
125,1041,0.37212488055229187,0.5221334099769592
126,1041,0.5191718339920044,0.6772000193595886
127,1025,0.37294358015060425,0.5114936232566833
128,913,0.376112163066864,0.5494520664215088
129,1041,0.2894619405269623,0.613003134727478
130,961,0.3853037357330322,0.484994113445282
131,961,0.47035059332847595,0.5983656644821167
132,849,0.5668466091156006,0.4388069808483124
133,1009,0.40202441811561584,0.5986109375953674
134,801,0.4168684184551239,0.49273884296417236
135,801,0.44749897718429565,0.685669481754303
136,897,0.599793553352356,0.5103917121887207
137,881,0.5262966156005859,0.545693039894104
138,961,0.5323007106781006,0.7820456027984619
139,929,0.5980474948883057,0.6920657753944397
140,833,0.4626026451587677,0.5530042052268982
141,865,0.47795021533966064,0.673088788986206
142,897,0.4754611849784851,0.48428159952163696
143,945,0.3855062425136566,0.5831945538520813
144,1009,0.547502338886261,0.5765524506568909
145,801,0.44837304949760437,0.5842790603637695
146,1105,0.4445514380931854,0.6609814167022705
147,1025,0.470088392496109,0.5174958109855652
148,1025,0.40105921030044556,0.5510928630828857
149,977,0.5932523608207703,0.7050251364707947
150,1105,0.4839649498462677,0.5671265721321106
151,1105,0.5087286829948425,0.8321462869644165
152,881,0.510056734085083,0.4722079038619995
153,977,0.43082162737846375,0.5505089163780212
154,897,0.6033862829208374,0.6321160793304443
155,817,0.47733333706855774,0.4989815354347229
156,1009,0.40607401728630066,0.3932421803474426
157,1057,0.5162369012832642,0.5521162748336792
158,849,0.3930363655090332,0.5783638954162598
159,897,0.3704085350036621,0.5186544060707092
160,1057,0.37755367159843445,0.4764954745769501
161,945,0.5118421316146851,0.5869388580322266
162,817,0.5502750277519226,0.5740308165550232
163,801,0.6652579307556152,0.660036027431488
164,1089,0.43863603472709656,0.5496740937232971
165,1089,0.44489550590515137,0.5084105134010315
166,849,0.4899017810821533,0.45340603590011597
167,865,0.4394751787185669,0.438149631023407
168,1089,0.5207237601280212,0.4523593485355377
169,801,0.5591133236885071,0.5976610779762268
170,1041,0.37099775671958923,0.4999209940433502
171,897,0.4591963291168213,0.5791458487510681
172,849,0.5528861284255981,0.6278719305992126
173,977,0.4173097312450409,0.6004603505134583
174,993,0.502812385559082,0.604891300201416
175,1105,0.5490240454673767,0.5168370008468628
176,849,0.4700404703617096,0.42654669284820557
177,1089,0.47670549154281616,0.3880408704280853
178,817,0.4824051260948181,0.5975625514984131
179,1057,0.43368908762931824,0.5930730700492859
180,1009,0.4159861207008362,0.4833892285823822
181,833,0.48221465945243835,0.5100411772727966
182,1025,0.43825647234916687,0.5355038046836853
183,945,0.44673576951026917,0.5802066922187805
184,1105,0.3343139886856079,0.561830461025238
185,1041,0.5911514759063721,0.5433510541915894
186,801,0.510032057762146,0.6521509885787964
187,1041,0.3589077591896057,0.5058067440986633
188,1089,0.5841048359870911,0.46140310168266296
189,977,0.5667585134506226,0.5519071817398071
190,961,0.5080962181091309,0.6468105316162109
191,881,0.5336572527885437,0.6715896725654602
192,945,0.4946254789829254,0.6832583546638489
193,1009,0.579694390296936,0.7114804983139038
194,977,0.5661709308624268,0.604627251625061
195,929,0.3950982689857483,0.5077295899391174
196,881,0.4721095561981201,0.5165192484855652
197,1089,0.42068639397621155,0.6126392483711243
198,961,0.5518861413002014,0.5176149606704712
199,1057,0.5867980718612671,0.5299680829048157
200,913,0.40219342708587646,0.720513641834259
