Epoch number,Epoch spec length,Average test loss,Average train loss
0,1089,0.3508932888507843,0.5690635442733765
1,897,0.6645963191986084,0.5517471432685852
2,833,0.5197656750679016,0.47760725021362305
3,833,0.5314070582389832,0.4755389094352722
4,961,0.6342647671699524,0.5211964845657349
5,897,0.6289086937904358,0.6395513415336609
6,833,0.5537769198417664,0.49561652541160583
7,1105,0.6643104553222656,0.37321239709854126
8,849,0.6097860932350159,0.6134876012802124
9,801,0.3746398985385895,0.48188018798828125
10,865,0.4287559390068054,0.5382722020149231
11,1089,0.6831539869308472,0.5669634938240051
12,1073,0.601521909236908,0.6200526356697083
13,865,0.6016536355018616,0.4869237542152405
14,1009,0.49847087264060974,0.6563326716423035
15,897,0.7328697443008423,0.5352717041969299
16,945,0.5120476484298706,0.674594521522522
17,977,0.6987559199333191,0.5673431754112244
18,1025,0.6275020837783813,0.427822083234787
19,865,0.5080268979072571,0.6667901277542114
20,897,0.528011679649353,0.5867172479629517
21,833,0.5431368350982666,0.5416895747184753
22,993,0.7324758768081665,0.6356194615364075
23,945,0.6344992518424988,0.5029844641685486
24,1057,0.4609626829624176,0.530771791934967
25,977,0.6310998201370239,0.48124438524246216
26,1057,0.4020251929759979,0.5597321391105652
27,1041,0.67322838306427,0.6964038014411926
28,1041,0.4812280833721161,0.5622549653053284
29,1057,0.40919044613838196,0.4539918005466461
30,897,0.44363898038864136,0.46617698669433594
31,897,0.65875643491745,0.5350398421287537
32,945,0.7051101326942444,0.7289600968360901
33,865,0.633929967880249,0.5815809965133667
34,865,0.6119100451469421,0.623170793056488
35,849,0.4172394275665283,0.5411776900291443
36,1073,0.5689284205436707,0.5835017561912537
37,913,0.43428513407707214,0.5303422808647156
38,881,0.506003201007843,0.6115695834159851
39,817,0.47280699014663696,0.5427452325820923
40,897,0.5250656604766846,0.6243873834609985
41,1105,0.5148719549179077,0.455767959356308
42,1025,0.6687454581260681,0.4975915253162384
43,913,0.5228095650672913,0.5461486577987671
44,1025,0.5038711428642273,0.597163736820221
45,817,0.362811416387558,0.5317532420158386
46,977,0.6357036232948303,0.4925665855407715
47,961,0.3415616452693939,0.5001937747001648
48,993,0.5998615622520447,0.49184468388557434
49,801,0.7367742657661438,0.5885432958602905
50,1105,0.41078439354896545,0.5504723787307739
51,1009,0.4034147262573242,0.5965889096260071
52,913,0.5297828912734985,0.5374889373779297
53,961,0.4158603250980377,0.6600717902183533
54,1089,0.4670500159263611,0.6568171381950378
55,817,0.37704065442085266,0.630706250667572
56,881,0.6389210224151611,0.5552292466163635
57,1089,0.5737964510917664,0.5227025151252747
58,977,0.5519258975982666,0.4893864691257477
